Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2009,M,France,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$44,696,188,232",0,0,N/A,0,N/A,0
2009,X,France,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$35,348,721,778",0,0,N/A,0,N/A,0
2009,M,France,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,975,281,770",0,0,N/A,0,N/A,0
2009,X,France,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,545,856,181",0,0,N/A,0,N/A,0
2009,M,France,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,304,693,218",0,0,N/A,0,N/A,0
2009,X,France,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,342,438,157",0,0,N/A,0,N/A,0
2009,M,France,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$6,600,056,590",0,0,N/A,0,N/A,0
2009,M,France,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$88,206,761,558",0,0,N/A,0,N/A,0
2009,X,France,Germany,World,TOTAL CPC,TOTAL MOT,TOTAL,"$68,985,005,982",0,0,N/A,0,N/A,0
2009,M,France,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$515,156,822",0,0,N/A,0,N/A,0
2009,X,France,"China, Hong Kong SAR",World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,294,852,386",0,0,N/A,0,N/A,0
2009,M,France,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$42,959,186,668",0,0,N/A,0,N/A,0
2009,X,France,Italy,World,TOTAL CPC,TOTAL MOT,TOTAL,"$39,227,043,439",0,0,N/A,0,N/A,0
2009,M,France,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$10,767,918,754",0,0,N/A,0,N/A,0
2009,X,France,Japan,World,TOTAL CPC,TOTAL MOT,TOTAL,"$6,648,767,757",0,0,N/A,0,N/A,0
2009,M,France,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,400,111,751",0,0,N/A,0,N/A,0
2009,X,France,Rep. of Korea,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,670,581,447",0,0,N/A,0,N/A,0
2009,M,France,Mexico,World,TOTAL CPC,TOTAL MOT,TOTAL,"$970,828,591",0,0,N/A,0,N/A,0
2009,X,France,Mexico,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,883,691,334",0,0,N/A,0,N/A,0
2009,M,France,Netherlands,World,TOTAL CPC,TOTAL MOT,TOTAL,"$22,853,692,773",0,0,N/A,0,N/A,0
2009,X,France,Netherlands,World,TOTAL CPC,TOTAL MOT,TOTAL,"$19,107,820,607",0,0,N/A,0,N/A,0
2009,M,France,Russian Federation,World,TOTAL CPC,TOTAL MOT,TOTAL,"$12,938,862,235",0,0,N/A,0,N/A,0
2009,X,France,Russian Federation,World,TOTAL CPC,TOTAL MOT,TOTAL,"$7,069,433,147",0,0,N/A,0,N/A,0
2009,M,France,India,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,032,523,884",0,0,N/A,0,N/A,0
2009,X,France,India,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,415,224,895",0,0,N/A,0,N/A,0
2009,M,France,Singapore,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,313,476,208",0,0,N/A,0,N/A,0
2009,X,France,Singapore,World,TOTAL CPC,TOTAL MOT,TOTAL,"$5,939,550,673",0,0,N/A,0,N/A,0
2009,M,France,Spain,World,TOTAL CPC,TOTAL MOT,TOTAL,"$34,255,166,616",0,0,N/A,0,N/A,0
2009,X,France,Spain,World,TOTAL CPC,TOTAL MOT,TOTAL,"$37,242,571,856",0,0,N/A,0,N/A,0
2009,M,France,Switzerland,World,TOTAL CPC,TOTAL MOT,TOTAL,"$13,725,118,943",0,0,N/A,0,N/A,0
2009,X,France,Switzerland,World,TOTAL CPC,TOTAL MOT,TOTAL,"$14,028,478,862",0,0,N/A,0,N/A,0
2009,M,France,United Kingdom,World,TOTAL CPC,TOTAL MOT,TOTAL,"$25,172,285,711",0,0,N/A,0,N/A,0
2009,X,France,United Kingdom,World,TOTAL CPC,TOTAL MOT,TOTAL,"$33,747,314,892",0,0,N/A,0,N/A,0
2009,M,France,USA,World,TOTAL CPC,TOTAL MOT,TOTAL,"$34,722,666,553",0,0,N/A,0,N/A,0
2009,X,France,USA,World,TOTAL CPC,TOTAL MOT,TOTAL,"$27,346,847,305",0,0,N/A,0,N/A,0
2009,M,Germany,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,557,150,487",0,0,N/A,0,N/A,0
2009,X,Germany,Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$8,874,495,531",0,0,N/A,0,N/A,0
2009,M,"China, Hong Kong SAR",Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,094,116,885",0,0,N/A,0,N/A,0
2009,X,"China, Hong Kong SAR",Australia,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,652,450,113",0,0,N/A,0,N/A,0
2009,M,Germany,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$38,710,829,941",0,0,N/A,0,N/A,0
2009,X,Germany,Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$57,966,551,290",0,0,N/A,0,N/A,0
2009,M,"China, Hong Kong SAR",Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,503,769,952",0,0,N/A,0,N/A,0
2009,X,"China, Hong Kong SAR",Belgium,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,867,427,992",0,0,N/A,0,N/A,0
2009,M,Germany,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$9,952,080,600",0,0,N/A,0,N/A,0
2009,X,Germany,Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$10,199,370,206",0,0,N/A,0,N/A,0
2009,M,"China, Hong Kong SAR",Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,938,130,793",0,0,N/A,0,N/A,0
2009,X,"China, Hong Kong SAR",Brazil,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,179,708,376",0,0,N/A,0,N/A,0
2009,M,Germany,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,445,852,161",0,0,N/A,0,N/A,0
2009,X,Germany,Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$7,381,631,931",0,0,N/A,0,N/A,0
2009,M,"China, Hong Kong SAR",Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,198,462,852",0,0,N/A,0,N/A,0
2009,X,"China, Hong Kong SAR",Canada,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,909,412,909",0,0,N/A,0,N/A,0
2009,M,Germany,France,World,TOTAL CPC,TOTAL MOT,TOTAL,"$74,210,528,164",0,0,N/A,0,N/A,0
